what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129255133
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1357129258312
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1357129265724
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1357129266426
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1357129272077
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1357129273754
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1357129310476
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357129316624
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357129327304
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1357129333286
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1357129334631
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357129336062
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1357129337362
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1357129338946
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129346911
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129347482
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1357129350257
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1357129351319
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357129352070
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129497974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129500101
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129502841
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129503545
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357129507046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129521446
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129522165
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129522669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129523683
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129524583
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129608920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129611644
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129619915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129622935
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129693956
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129694540
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129695589
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129704453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129705907
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1357129713312
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129714053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129715091
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129718298
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129721816
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129730779
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129731605
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129732317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129734334
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129736009
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129737136
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1357129741226
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129744629
error,log,,,"Warning: Ignoring name conflict in resource file for name hello_world",1357129793307
error,log,,,"Warning: Ignoring name conflict in resource file for name menu_settings",1357129793308
error,log,,,"Warning: Ignoring name conflict in resource file for name hello_world",1357129797551
error,log,,,"Warning: Ignoring name conflict in resource file for name menu_settings",1357129797562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357129798094
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1357129798137
opened,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1357129799226
activated,editor,com.android.ide.eclipse.adt,21.0.0.v201210310015-519525,"com.android.ide.eclipse.editors.CommonXmlEditor",1357129799441
