what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1357320992518
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1357320992549
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1357320992556
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1357320992569
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1357320992593
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1357320992618
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1357320992663
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1357320992683
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1357320992713
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1357320992733
os,sysinfo,,,"win32",1357320992745
arch,sysinfo,,,"x86_64",1357320992745
ws,sysinfo,,,"win32",1357320992745
locale,sysinfo,,,"en_US",1357320992745
processors,sysinfo,,,"4",1357320992745
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1357320992745
java.runtime.version,sysinfo,,,"1.7.0_02-b13",1357320992745
java.specification.name,sysinfo,,,"Java Platform API Specification",1357320992745
java.specification.vendor,sysinfo,,,"Oracle Corporation",1357320992745
java.specification.version,sysinfo,,,"1.7",1357320992745
java.vendor,sysinfo,,,"Oracle Corporation",1357320992745
java.version,sysinfo,,,"1.7.0_02",1357320992745
java.vm.info,sysinfo,,,"mixed mode",1357320992745
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1357320992745
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1357320992745
