what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357134453268
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357134456338
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1357134458320
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1357134462241
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357134485661
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1357134488092
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357134488887
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357134489057
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1357134493701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1357134496521
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357134498157
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357134518972
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1357134557876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357134558437
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357134558598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357134597188
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1357134601977
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1357134604425
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357134608188
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357135128669
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357135129607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357135240510
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357135241022
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357135414213
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357135416103
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1357135419383
error,log,,,"Failed converting ECJ parse tree to Lombok for file C:\\Users\\Marc.COOPERSOFTWARE\\Dropbox\\Dissertation\\Code\\DissertationAndroid\\src\\com\\example\\dissertationandroid\\RESTRequest.java",1357135419655
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1357135421406
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1357135422441
